PaperCount,Citation,HIndex,PIndex,AIndex
65,141,6.0,71.1,64.9172
13,88,4.0,36.6667,55.7795
13,34,3.0,10.25,9.1431
1,1,1.0,0.3333,0.6111
11,66,6.0,13.525,18.4841
1,1,1.0,0.25,0.5208
4,3,1.0,0.7333,0.7911
2,3,1.0,0.65,0.7842
7,66,4.0,16.6024,8.2829
7,1,1.0,0.3333,0.6111
1,0,0.0,0.0,0.0
3,14,2.0,4.25,5.2292
7,97,5.0,26.15,29.3258
24,19,2.0,7.7,3.8039
72,4735,33.0,2173.7512,1943.2426
1,1,1.0,0.1667,0.0611
8,19,3.0,5.1167,9.1664
5,101,4.0,22.0357,38.3343
2,4,1.0,0.8,0.3767
1,0,0.0,0.0,0.0
35,131,5.0,44.7,60.6483
1,4,1.0,2.0,1.0
4,8,1.0,2.6667,4.5556
1,44,1.0,8.8,3.96
13,15,2.0,3.5,3.7944
22,188,8.0,81.4643,106.6903
10,72,5.0,18.8833,19.2475
1,3,1.0,0.375,0.3317
1,6,1.0,1.5,0.875
2,6,0.0,2.5,2.5833
15,30,3.0,14.0833,17.1264
7,100,6.0,22.5667,26.5328
39,132,6.0,39.8857,51.5822
36,175,8.0,48.2833,53.7358
35,107,6.0,29.3151,43.2012
1,1,1.0,0.1429,0.0728
9,96,5.0,21.4667,21.4572
26,166,8.0,20.5325,29.1648
39,92,6.0,30.75,15.8125
3,57,0.0,10.1,5.6033
23,68,4.0,23.6583,31.778
1,17,1.0,4.25,4.6042
16,41,4.0,13.6937,20.4478
8,74,4.0,24.8833,24.4503
4,32,3.0,7.1667,8.125
19,50,3.0,10.2167,12.5425
104,248,8.0,80.0833,62.0681
5,109,2.0,9.5375,9.7477
15,32,3.0,5.0012,5.3635
1,3,1.0,0.6,0.47
2,7,1.0,1.1667,1.1083
1,6,1.0,0.5,0.1371
1,3,1.0,0.5,0.475
169,1742,22.0,612.6599,477.6808
4,282,3.0,47.1667,44.4125
2,0,0.0,0.0,0.0
8,100,4.0,19.4,16.2645
17,62,5.0,18.7808,23.7549
4,164,3.0,41.0,85.4167
13,18,2.0,4.75,5.8958
15,200,5.0,105.0833,83.7681
6,45,4.0,6.9603,2.1233
7,9,2.0,1.9667,2.8183
43,185,7.0,49.5214,52.8159
23,136,6.0,52.35,67.2825
2,35,1.0,17.5,26.25
2,0,0.0,0.0,0.0
5,9,2.0,2.5333,4.2844
1,21,1.0,2.625,0.3281
8,23,3.0,7.5833,5.0903
3,1,1.0,0.2,0.4567
6,36,3.0,11.4667,8.2489
12,257,6.0,99.3643,85.466
1,3,1.0,0.4286,0.6827
6,9,2.0,2.4167,4.8681
2,0,0.0,0.0,0.0
2,7,1.0,0.6909,0.7652
2,10,0.0,3.0,2.25
14,204,4.0,89.9833,123.7203
38,230,9.0,63.05,83.7447
17,14,3.0,7.8,7.6267
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
6,26,4.0,3.485,4.5853
8,21,3.0,4.7667,6.6394
5,216,0.0,85.5833,62.2986
1,1,1.0,0.2,0.04
2,149,1.0,11.5846,25.2767
2,3,1.0,0.375,0.1004
2,2,1.0,0.4,0.9133
66,483,13.0,136.6579,134.2114
43,98,6.0,28.6512,13.7309
1,1,1.0,0.2,0.09
28,54,2.0,13.35,8.8936
2,13,0.0,2.6,0.52
6,23,3.0,5.2167,6.5614
38,185,9.0,57.0119,67.6737
1,46,1.0,11.5,6.7083
67,731,17.0,223.624,246.8466
66,809,11.0,262.7786,433.1405
16,443,8.0,112.1833,180.2603
8,112,6.0,25.6524,38.3114
3,1,1.0,0.5,0.75
2,3,1.0,0.75,0.1875
13,26,3.0,6.8167,5.4647
14,115,7.0,27.6364,42.3854
2,4,1.0,0.6667,1.6333
9,17,2.0,3.6619,4.9271
2,13,0.0,6.5,9.75
4,56,0.0,9.9659,10.3617
1,3,1.0,1.0,0.8333
63,1455,19.0,506.25,616.5443
2,1,1.0,0.5,0.25
14,32,3.0,16.7929,15.6046
21,998,12.0,325.2833,199.9858
154,2148,22.0,541.6071,626.5056
1,75,1.0,15.0,11.75
2,8,1.0,2.0,1.1667
13,12,1.0,1.3361,2.4815
3,19,0.0,5.6667,7.5056
9,9,2.0,3.1667,5.6389
2,3,1.0,1.0,0.8333
1,0,0.0,0.0,0.0
16,37,3.0,13.9952,18.9039
10,10,2.0,5.0,7.5
3,0,0.0,0.0,0.0
7,94,4.0,22.1905,22.1717
4,5,1.0,1.0119,0.9753
10,100,3.0,46.2667,70.2867
2,1,1.0,0.25,0.2708
65,238,8.0,78.5686,76.228
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
5,8,2.0,2.1667,1.5556
51,422,10.0,115.1714,112.9906
9,34,4.0,7.75,5.7045
7,76,2.0,25.3333,41.6111
6,12,2.0,3.3667,4.4706
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
5,7,2.0,1.8,2.66
19,28,3.0,15.3333,14.9444
3,1,1.0,0.2,0.1567
36,144,4.0,43.2024,29.6806
78,151,6.0,48.2317,37.6467
3,5,1.0,2.5,3.75
1,0,0.0,0.0,0.0
3,10,1.0,2.5,5.2083
3,0,0.0,0.0,0.0
1,3,1.0,1.0,0.8333
5,4,1.0,0.85,1.8908
3,54,1.0,13.6667,4.0278
1,0,0.0,0.0,0.0
13,105,7.0,19.8214,7.2595
1,3,1.0,0.5,0.725
2,8,1.0,4.0,2.5
14,15,2.0,4.4167,1.9514
40,380,11.0,117.6071,92.907
16,394,9.0,109.2167,131.9003
1,9,1.0,1.5,1.425
122,3838,26.0,2273.0167,1867.2471
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,18,0.0,2.7143,0.4116
6,27,3.0,5.75,1.2375
18,415,11.0,155.1077,164.5994
222,2471,22.0,907.0345,623.1518
6,101,3.0,26.8429,43.4814
3,19,1.0,3.8333,1.9722
1,7,1.0,1.75,1.8958
3,1,1.0,0.3333,0.2778
17,208,5.0,55.8167,36.9731
3,46,2.0,9.1333,1.8156
1,0,0.0,0.0,0.0
2,6,0.0,2.0,0.6667
8,9,2.0,2.9167,2.8264
9,2,1.0,0.375,0.4022
3,11,2.0,3.6667,4.5556
21,169,7.0,43.7615,71.0757
10,126,3.0,67.0,95.0
8,17,2.0,1.8523,2.7459
2,2,1.0,0.45,0.7775
69,1250,18.0,441.8,339.5017
37,480,10.0,175.6,164.9839
1,1,1.0,0.1,0.0646
9,120,5.0,22.2045,24.651
42,421,8.0,113.9333,185.0367
12,73,4.0,18.9,12.9578
1,0,0.0,0.0,0.0
87,1332,18.0,408.9667,375.8636
5,9,2.0,1.5833,2.8162
2,1,1.0,0.1429,0.1561
45,145,6.0,40.7333,65.3633
5,6,1.0,1.4333,1.1644
88,1925,20.0,673.6833,571.3084
3,2,1.0,0.5333,0.4344
1,10,1.0,2.0,0.9
2,0,0.0,0.0,0.0
9,162,7.0,45.2667,41.3589
2,4,1.0,1.0,0.5833
1,77,1.0,8.5556,8.5182
15,35,3.0,9.6167,5.7664
18,413,8.0,157.3802,197.8024
1,8,1.0,1.6,2.0533
15,151,7.0,38.9667,51.0239
11,59,4.0,27.0333,39.5233
1,2,1.0,0.6667,0.5556
1,2,1.0,0.2,0.5858
113,375,9.0,149.8976,96.0248
28,119,6.0,46.4762,67.8387
1,5,1.0,1.0,1.2833
11,26,3.0,6.5119,4.6896
2,1,1.0,0.25,0.2708
2,3,1.0,0.5667,1.3217
5,3,1.0,0.4333,0.4985
1,1,1.0,0.2,0.04
4,6,1.0,1.1667,2.1583
1,0,0.0,0.0,0.0
63,128,5.0,31.6667,18.9889
1,15,1.0,1.875,0.8147
2,1,1.0,0.3333,0.6111
2,4,1.0,1.3333,0.4444
42,252,8.0,64.9944,48.629
1,6,1.0,2.0,3.6667
3,29,2.0,9.6667,17.7222
18,182,7.0,52.9262,82.1289
82,680,15.0,180.6619,222.8197
1,2,1.0,0.5,0.125
2,60,1.0,15.0,16.25
5,2,1.0,0.5,0.2917
1,0,0.0,0.0,0.0
70,1113,20.0,460.8667,557.4917
13,88,6.0,19.2167,13.7531
33,93,5.0,21.4,14.9128
1,19,1.0,2.7143,1.383
7,66,4.0,25.0,22.8556
10,80,6.0,35.5,38.25
7,7,2.0,0.7308,0.7816
18,73,5.0,18.2333,28.0578
19,33,3.0,12.1929,16.1203
1,0,0.0,0.0,0.0
13,47,5.0,17.8611,26.0831
2,2,1.0,0.4,0.5133
62,1021,15.0,426.494,530.8729
12,105,6.0,28.5167,19.2598
2,0,0.0,0.0,0.0
9,19,3.0,4.2833,6.6469
36,158,7.0,38.3619,59.0503
101,561,12.0,144.7613,131.3951
184,688,13.0,163.8087,85.0208
19,79,6.0,22.0576,20.7662
8,7,2.0,1.1667,2.1917
3,20,2.0,2.5727,1.2451
14,96,6.0,44.1667,59.6389
198,1465,19.0,369.5661,264.8249
4,51,2.0,16.5,17.4583
6,1,1.0,0.1667,0.0611
8,25,4.0,7.4833,10.3369
2,6,0.0,1.25,0.6146
1,20,1.0,6.6667,2.2222
1,2,1.0,0.2857,0.0408
5,6,1.0,1.1667,1.125
6,8,2.0,2.3929,0.927
65,750,15.0,348.0333,400.727
1,3,1.0,0.375,0.6442
7,1,1.0,0.5,0.75
8,100,4.0,23.3376,27.5682
1,0,0.0,0.0,0.0
14,50,4.0,12.4167,18.2708
51,1005,16.0,409.781,516.96
1,0,0.0,0.0,0.0
3,4,1.0,1.0,1.3361
3,11,2.0,1.7444,0.2994
1,6,1.0,1.2,0.94
3,1,1.0,0.0588,0.03
81,479,11.0,153.7333,89.6383
1,1,1.0,0.1429,0.1561
1,1,1.0,0.25,0.2708
32,117,6.0,38.75,39.1375
17,713,11.0,336.4,420.1467
4,46,3.0,8.2667,4.5978
2,14,0.0,3.4,3.5633
1,1,1.0,0.1667,0.1028
1,6,1.0,1.0,0.95
23,79,5.0,15.4063,29.192
9,181,4.0,46.4667,92.3362
13,103,5.0,42.681,59.2343
4,3,1.0,0.2929,0.2816
9,16,2.0,4.6667,8.0056
2,1,1.0,0.25,0.5208
2,1,1.0,0.1429,0.0728
80,189,7.0,47.5698,31.1463
3,57,2.0,11.4167,20.1958
5,3,1.0,0.6,1.37
16,46,4.0,15.3167,10.4258
37,137,6.0,51.0,31.9167
1,46,1.0,15.3333,28.1111
27,165,7.0,56.1833,43.5297
1,0,0.0,0.0,0.0
5,8,1.0,0.8889,0.485
4,34,3.0,8.35,7.3408
13,19,2.0,3.5905,5.9136
3,3,1.0,0.3056,0.0791
12,44,3.0,11.2429,5.5432
34,307,9.0,107.1167,125.1664
55,228,9.0,122.0238,121.7903
1,1,1.0,0.1111,0.0123
10,25,3.0,6.6667,4.7389
2,3,1.0,1.0,0.3333
1,1,1.0,0.1667,0.1028
5,20,1.0,5.0,5.4167
26,101,6.0,41.6944,51.698
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
2,36,0.0,4.9821,3.3354
75,1592,22.0,605.5421,726.8994
5,7,2.0,3.5,5.25
105,622,14.0,215.1583,235.0198
8,85,3.0,12.8452,23.7463
4,65,3.0,9.7222,3.858
3,9,1.0,1.5,2.175
3,0,0.0,0.0,0.0
17,96,6.0,27.6548,45.2386
2,7,0.0,1.8333,2.7083
23,82,6.0,18.9452,15.6798
1,4,1.0,0.6667,0.1111
28,77,6.0,34.0,20.0417
109,3712,27.0,2488.2619,2382.6053
3,3,1.0,0.4524,0.5579
1,1,1.0,0.3333,0.6111
1,0,0.0,0.0,0.0
2,27,0.0,6.75,14.0625
6,26,4.0,5.5071,1.5149
41,135,6.0,38.0833,14.9653
86,912,17.0,549.2917,487.5518
4,2,1.0,1.0,1.5
3,0,0.0,0.0,0.0
20,1004,17.0,174.85,122.0658
52,338,11.0,111.8323,133.7499
21,80,6.0,25.2,32.7094
2,50,0.0,10.5714,4.8102
4,2,1.0,1.0,1.5
4,6,2.0,2.0,0.6667
9,49,4.0,14.5833,17.7597
17,113,6.0,38.0333,47.8289
4,131,0.0,40.098,38.5987
52,931,16.0,286.4,330.7467
1,2,1.0,0.6667,1.2222
11,104,4.0,17.5734,31.5243
32,183,6.0,35.8458,18.4441
1,2,1.0,0.3333,0.2056
25,244,10.0,64.1917,72.9333
26,259,9.0,79.7,111.4678
1,0,0.0,0.0,0.0
5,30,3.0,6.927,10.9817
13,151,7.0,26.9111,41.1298
3,2,1.0,0.4,0.9133
3,0,0.0,0.0,0.0
11,53,4.0,15.0,13.6972
34,163,6.0,53.1833,52.48
7,44,4.0,12.5,19.5
8,10,2.0,2.469,3.5503
2,12,0.0,1.9048,2.015
3,3,1.0,0.6667,0.7833
1,140,1.0,11.6667,3.1995
2,2,1.0,0.6667,1.2222
4,107,2.0,21.5,12.225
9,43,4.0,20.35,17.4992
2,31,0.0,3.875,5.0317
6,11,3.0,2.9333,4.5644
4,18,3.0,4.95,5.8775
2,45,0.0,11.25,9.4792
4,25,2.0,6.4167,3.3264
2,5,1.0,1.6667,3.0556
16,174,7.0,61.4024,92.9049
5,3,1.0,2.5,2.75
1,0,0.0,0.0,0.0
25,52,4.0,12.0864,12.2361
12,206,6.0,34.8167,57.391
1,8,1.0,1.3333,1.2667
4,22,2.0,9.5,12.9167
6,3,1.0,1.4,1.9133
41,1146,14.0,409.3167,548.2036
83,242,8.0,97.9595,77.1105
1,0,0.0,0.0,0.0
2,11,1.0,3.5833,1.1736
16,128,6.0,25.5056,50.4284
5,10,2.0,2.9167,5.6597
2,1,1.0,0.25,0.0625
1,14,1.0,1.5556,1.1599
5,64,4.0,24.6786,21.8737
39,149,7.0,41.9452,50.387
2,11,1.0,1.8333,1.7417
17,46,4.0,11.7,10.4483
13,196,8.0,50.2333,64.3244
34,814,13.0,132.0153,141.8984
3,0,0.0,0.0,0.0
24,81,5.0,27.5667,33.0189
1,0,0.0,0.0,0.0
8,85,2.0,15.0667,33.9189
2,5,1.0,0.7143,1.852
4,11,1.0,1.6786,1.2309
22,169,7.0,74.6667,41.0703
13,9,2.0,1.773,0.8833
5,7,2.0,1.5667,0.8022
2,70,0.0,17.5,8.625
52,742,11.0,197.1702,242.8671
1,0,0.0,0.0,0.0
1,0,0.0,0.0,0.0
99,1182,19.0,391.4913,633.8576
1,23,1.0,4.6,5.9033
1,20,1.0,4.0,9.1333
4,3,1.0,0.8333,1.6528
2,54,0.0,18.0,6.0
19,62,4.0,28.419,32.2595
41,148,6.0,48.5667,64.6133
18,45,3.0,20.2083,27.6967
12,123,4.0,38.8833,43.6015
1,0,0.0,0.0,0.0
2,7,0.0,1.3553,0.3999
71,1055,18.0,317.9429,389.5721
1,2,1.0,0.4,0.3133
1,0,0.0,0.0,0.0
2,6,1.0,1.5,1.5
8,14,2.0,3.0667,2.7133
3,39,0.0,11.35,11.0492
4,2,1.0,0.3095,0.1696
19,159,7.0,31.6139,59.0111
2,0,0.0,0.0,0.0
7,6,1.0,1.1286,1.2738
111,493,11.0,148.7583,149.3248
13,145,6.0,31.331,39.9146
5,10,2.0,2.0,1.4
2,1,1.0,0.5,0.25
2,6,1.0,0.526,1.1504
1,4,1.0,1.3333,2.4444
34,170,9.0,102.869,102.0712
1,1,1.0,0.1111,0.0421
1,2,1.0,0.3333,0.3167
41,78,5.0,24.6242,25.7425
5,2,1.0,0.3929,0.2186
6,237,0.0,83.5,92.0528
2,1,1.0,0.027,0.0257
3,3,1.0,1.0,1.8333
2,1,1.0,0.1667,0.0278
55,449,12.0,122.8373,155.4804
15,549,7.0,149.7244,67.219
6,15,3.0,14.1667,14.0611
3,31,2.0,9.6667,4.1722
100,188,6.0,59.6012,26.796
1,5,1.0,1.25,1.3542
118,2499,28.0,790.1036,738.931
2,625,0.0,45.1786,29.4528
